"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"IL18RAP",12.9111708330589,2.80170540684958,0.367503774929009,242.978406967684,23.2203470919786,13.3746129257465,3.82783522192901,"NK"
"MYBL1",10.2132330209526,0.799654453721424,0.187037420503587,27.8200096749334,3.80067152938574,0.0174356362780435,3.78383538453872,"NK"
"PTCH1",19.123706722576,11.3219283415067,0.179657070681049,50.9998438698786,1.58634576860031,0.0344238823952471,3.78114393813326,"NK"
"SKAP1",140.410244415006,28.0851947614422,0.770281308877401,182.859707991117,1.44181596873208,0.480944211370051,3.67817705002176,"NK"
"APBA2",30.368083470114,0.782483383122088,0.490692502523584,44.080797572122,1.44969368497337,0.225178582676966,3.51869170741348,"NK"
"B3GAT1",2.81175722363044,0.216850276511757,0.0719428719003989,8.56016353147531,0.917796839710268,0.0754164498928057,3.30654539405711,"NK"
"RORA",88.7797156865613,6.59900722831021,0.544430687442658,96.6839080031948,12.1602488786165,0.218495207434217,3.22299819328035,"NK"
"MATK",13.7213227141801,2.19503518035304,0.88749482566547,69.7360856097283,15.4160495905088,0.459724383885407,3.19590240637666,"NK"
"NCR3",18.0639462795286,30.5931679104657,0.60558529457294,66.8478802147551,1.80033918371958,0.310150097107177,3.15633738243635,"NK"
"CD96",153.309648178416,43.0170955903214,0.885369373525734,154.379939975645,4.95858834117436,0.600503010661478,3.08672861733065,"NK"
"ZBTB16",7.66586413651845,10.5916683577689,10.1810630054992,101.664672736389,9.7910096351341,0.521051406048169,2.95229340230894,"NK"
"COLQ",5.40304876751895,1.65506569361719,1.83955140042226,31.7311623546889,9.84711995030958,0.142611525373561,2.82932445937584,"NK"
"ERBB2",4.71005561098056,4.29894952290356,1.78380257412964,50.5110452804082,13.0521544155272,0.686959091798799,2.76613394100933,"NK"
"CEP78",35.239125887213,13.1727070637183,4.25866434620583,125.848584509263,77.8173424543626,0.216261766251362,2.75260783232223,"NK"
"DLG5",1.56531984077758,0.334818593156735,0.205676415000745,8.04713523414545,2.23790558799777,0.259169091194393,2.6397684613925,"NK"
"TM4SF19",6.15096340791948,0.652963806672668,0.427364912867941,14.333600530032,5.97183474918967,0.175650895520209,2.54499536521379,"NK"
"TTC38",42.7755417976379,12.5699285317169,13.8188774454686,268.984883310626,144.620939957435,4.07864267021473,2.5360172266449,"NK"
"TTC16",12.0769140056461,0.719140124266568,0.399861580591537,16.3506377513289,4.085559302837,0.2811804821604,2.51753492106707,"NK"
"AK1",15.4335111047128,6.13469259775158,0.553271082801369,25.7760881975487,8.96868209263329,0.104885400019766,2.46995809689095,"NK"
"CAPN5",1.84095249027771,0.550259244151687,0.597044966661694,8.68074030342756,6.11765725298253,0.0613512799074118,2.45766792044209,"NK"
"CMC1",33.774534852557,8.05082870147194,10.2932687928201,129.299763597782,124.814019357566,0.828257824748979,2.34706019699976,"NK"
"CCDC65",18.3022415333899,2.30771514962135,1.03377938088989,19.5230727490589,5.31481491108488,0.152250537147307,2.25864234513694,"NK"
"SLCO4C1",3.81049359078736,1.1210090032514,2.27445842530575,24.6734033985067,3.53137635342774,5.77445866710549,2.14795346032182,"NK"
"GFOD1",1.28765466417179,6.79621342774649,3.04436157034499,17.9558206140491,14.1845526520577,0.12916907516228,2.11031437960186,"NK"
"GK5",15.4768152287371,7.70616345183302,9.90418764401866,72.4303121428406,65.8586080136397,0.991195178906138,2.03202737576888,"NK"
