"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","cell"
"AP000311.1",8.23191,1.744675,1.36721,1.399023,1.389377,1.38204,"T"
"AP5B1",1.237687,1.220243,2.41716,1.3133215,1.320637,20.4947,"Neutrophils"
"APBB1IP",25.5015,22.34975,18.3469,19.21185,35.3742,115.6535,"Neutrophils"
"AQP3",95.5350999999999,4.008115,1.366322,3.708695,6.7501,1.7515085,"T"
"AQP9",1.0553816,1.09126325,18.1961,1.2196874,1.249498,666.044,"Neutrophils"
"ARG1",1.506203,1.10762695,1.0711566,1,1.0174466,24.91725,"Neutrophils"
"ARHGAP24",1.0185896,28.22325,3.90927,1.02892025,5.11185,3.891795,"B"
"ARL4D",4.00057,20.17485,3.57908,2.91362,4.23358,1.04764695,"B"
"ASF1B",4.48529,2.757265,11.1391,4.70501,2.36952,50.93095,"Neutrophils"
"ASGR1",1.328199,1.27676,51.5053,1.4876745,8.99821,3.06538,"Monocytes"
"ASPRV1",1.243182,1,1.0500015,1.0893675,1.0820978,6.91743,"Neutrophils"
"ATG16L2",3.94449,3.72643,10.04627,3.08454,4.01404,38.132,"Neutrophils"
"ATG2A",2.42668,1.6059385,2.76113,3.48689,2.5643,13.78015,"Neutrophils"
"ATP8B4",1,1,1.602671,10.081935,1.0223724,1.430899,"NK"
"B3GALNT1",1.219961,1.410401,1.115387,24.63755,2.51195,1.2341545,"NK"
"B3GNT7",1.189496,7.626875,1.261628,35.51305,4.64549,1.12957615,"NK"
"B3GNT8",1.402334,1.0374865,13.0043,2.2997389,3.0673,108.70975,"Neutrophils"
"BANK1",1.14908,193.359,1.512663,1.959591,7.84678,1.552746,"B"
