"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"PI3",17.962935242825,24.4361683633815,29.7614889909537,17.8759860876948,16.4737570387384,486.9529894876,3.15560419688755,"Neutrophils"
"TREM1",25.8182429338809,28.502587568761,178.688731656837,17.8620999444911,62.559290997441,769.950143703379,2.88522226830607,"Neutrophils"
"MME",15.035159319377,17.0879354700986,19.2826351473868,10.5861276698471,19.0092981876351,238.549359487221,2.71208790125758,"Neutrophils"
"ANXA3",13.2890566719578,11.4827936793379,15.2258757494719,12.416012853101,24.0671587262275,221.181654507038,2.70885990261403,"Neutrophils"
"STEAP4",12.8541330112767,9.34765879545052,32.0282522841017,11.836192358156,17.1593668415556,197.01552451392,2.56945935226313,"Neutrophils"
"S100A12",39.4129960094476,14.1663510982537,543.243039204342,33.811577878443,32.9123004516763,617.979315216139,2.49902065163273,"Neutrophils"
"IL1R2",19.2610984182506,11.4924690337454,45.2980594989601,23.8041965273117,112.983725099434,361.452108860511,2.4680997023931,"Neutrophils"
"APOBEC3A",31.9850589825689,15.3981572632502,203.909793524466,47.1057085494876,27.7788555082694,462.737998493527,2.39838826176925,"Neutrophils"
"CLEC4E",19.7634624217637,20.3719584210547,88.4730318166227,12.4974945358744,29.4533191858305,280.008459814842,2.35701444718648,"Neutrophils"
"ORM1",17.3093242154395,15.963420434466,23.7456306739922,12.843884234078,24.535350105916,185.875281471584,2.31669062822869,"Neutrophils"
"KCNJ15",18.1670000511824,17.7381762072238,38.8862515511778,22.2947815996769,22.0923465147064,218.971758477803,2.26183265162946,"Neutrophils"
"DYSF",32.1989837272954,17.7491779984302,182.111177724983,31.7993094868566,33.7942933282069,379.775273873421,2.23305409524485,"Neutrophils"
"PGLYRP1",20.2455537300306,16.5613480524485,25.481975444335,18.216347339318,18.0627722238507,169.471844874349,2.16285669796415,"Neutrophils"
"ALPL",20.323606601538,30.4119655798982,19.9286417563492,17.6011797163615,20.4381816414376,176.086115109137,2.11014357703099,"Neutrophils"
"TLR8",21.020039445536,9.46312549874953,210.42033338171,24.9178206238736,67.7408693187637,292.420630845398,2.06354148333047,"Neutrophils"
"TGM3",18.4832203415121,18.3001760463725,20.8093859627583,16.308753842798,27.7152968616724,155.504755468627,2.05210338731141,"Neutrophils"
"CA4",21.330255711457,16.1754097397109,21.1491421216081,22.8797740002074,24.9033745361215,155.653683385612,1.9995386327049,"Neutrophils"
"CCN3",17.3006131202314,17.8872980713809,19.1207353188884,19.8246766792261,20.0600746248142,116.420838304788,1.82295851779192,"Neutrophils"
"TNFRSF10C",20.295374624348,20.9088261127939,33.7626896245388,14.1435918495234,26.0987918178368,134.521150452437,1.8055071615317,"Neutrophils"
"TREML2",26.4589329362962,55.0605279993929,32.3761015872866,18.2033364019452,25.0549808438063,164.560937345915,1.72645594042992,"Neutrophils"
"H2BC5",23.3660458749099,82.2918399091442,24.7862789477224,42.2901541549933,25.9847080599755,180.135981841977,1.63893029400254,"Neutrophils"
"IL1RAP",27.3075123761425,21.0456536507311,29.5038151447525,39.3019083438942,26.2719811861343,143.446266795704,1.63033020176015,"Neutrophils"
"HPSE",39.9964847804247,21.1067838779232,151.168594147165,24.0577436220919,26.5809108753357,193.266304772221,1.62058264577801,"Neutrophils"
"BMX",13.0974742070588,17.1591237216139,16.4975186648158,11.2797378681382,19.6057286000344,76.416615243161,1.61280230504676,"Neutrophils"
"CEACAM3",22.9841295731297,30.8860289234554,42.2248673260101,39.0148813809267,22.4710986816998,152.199186894895,1.60833203290995,"Neutrophils"
"LIMK2",41.1217355602189,54.9840852287902,43.695646497571,31.5625903724033,29.8269175777048,185.640222325367,1.55416792867975,"Neutrophils"
"AOC2",20.0744525471899,23.5017004141043,19.9864035059166,22.7676280321471,19.5167720060922,64.0478550445628,1.10999316181584,"Neutrophils"
"CHST7",54.6134154135153,12.9281500194733,129.203686141938,76.79886329249,159.470880291225,186.548195501998,1.06186403471668,"Neutrophils"
"CYSLTR1",46.3691739923638,63.9518958416966,56.710945080264,43.9655513116366,45.2775010785127,114.474511208042,0.814562202305323,"Neutrophils"
"SH3BP2",43.530997715651,72.844437661612,65.0170756463062,76.9131763016216,34.7158316500416,89.6996589735907,0.471202482975778,"Neutrophils"
"FCHO1",64.2790152705381,68.3968039311542,54.7317167238241,34.4007285735801,39.0845426770492,78.9877021241312,0.450330672021601,"Neutrophils"
"TULP2",18.9363268464341,35.5970905674829,26.7397472914874,21.398391803718,22.6680261450092,35.9257519875508,0.384700699073254,"Neutrophils"
